start	end	text
706	8995	Marigold.
10983	33143	You step up, swing it on the first green Drive straight down like a laser beam Confidence drive they've never seen But I know how this will go Balls in the bunker on hole three Still you smile like it's old routine You line it up, you play it clean Never cheat or let it roll Straight shooter who can't shoot straight You never lie, never hesitate
33123	34866	Chocolate strokes put you on your feet.
35086	37190	You're teeing up, but you won't escape.
37851	39994	I watch the score climb with the sun.
40075	42198	We're way past par, but having fun.
42419	44382	Hit the water, you never run.
44722	45985	It's a Benji probably where.
46325	49010	Fork, put, freeze, and rub that bite.
49030	51153	Still you laugh through every slice.
51273	53477	The mic is no secret, right?
53457	55439	Miles to a fault, I swear.
55460	57142	Straight shooter who can't shoot straight.
57302	59344	You never won, never hesitate.
59505	61627	You tee it up, but you won't escape.
61868	63850	Could have keeped it out, but that's not you.
64070	66273	Counting every swing, you'll matter, true or screwed.
66473	70639	Your scorecard looks like modern art, but you play around with an honest heart.
71039	72761	Straight shooter who can't shoot straight.
72861	74924	You never won, never hesitate.
75485	77087	Chalk and strokes, but you won your fate.
77327	79650	You tee it up, but you won't escape.
88388	97521	Still so you're proud to go every all A legend with a bulgy soul Can't shoot straight but it makes you all Can't shoot straight but it makes you all
