start	end	text
10105	39538	Cracked pavement and static on your morning screen Dead eyes behind the podium, parading every scene Shuffling their papers, but the ink is running thin Hope gets buried while the pandering begins Zombie commissar, take their marching orders high Never mind the bases, won't just shuffle and glide Voting red or blue, but they never wonder why
39518	44955	Brains are not a five, it's never hear our cries.
46119	49249	Hey, oh, brace the sin.
49309	53562	Hey, oh, brace the sin.
63278	87193	Lines drawn and sent, no matter what the people need Constituents ignored, as the lobby books the feed A hand up, a hand out, they're trading paper skin Plaster on their grins, now the walking dead begin We're shouting at their doors But their minds are locked up tight
89654	96684	A stampede of empty suits, dawn of the party like tonight.
97545	105356	Zombie congressmen take their munchie on a side, never mind good basis, one just shuffle and goodbye.
106258	110143	Voting ran afloat, but they never wonder why.
110123	114735	Brainjawn on a pilot, never hear our cries.
116761	121393	Ayo, bridge the sail.
121413	123238	Ayo, bridge the sail.
131825	135329	Warren's Blair warnings as the brains go out to lunch.
136110	139693	Another round of chaos served up with a punch.
140414	144018	Truth DJs in silence while they're locked inside the dome.
144739	149003	We're still screaming loud, but getting set straight home.
149184	152607	Zombie congressmen take their marching orders high.
153388	156912	Never mind the faces, we're just shuffle and comply.
157673	161697	Voting ran a blue, but they never wonder why.
161677	166675	Brains are not a pilot, never hear our cries
