start	end	text
31	1213	How?
1233	2094	Announced!
2114	2976	In Bath!
2996	3817	That's fantastic!
3937	4478	What for?
5380	7623	Please suspend our business, don't shout on Zoom.
7904	10047	Bunch was VR, smooth, and Bennett's on Zoom.
10328	10628	D.M.
10748	12571	went dancing, soundbites, notes on our merch.
12591	14675	I did some boats, got paid to do the work.
14875	17078	You're saying words, hypocrites are making rent.
17098	19623	For my boy Graham's got a dance floor set.
19663	21746	So here's our truth, like Janet Smith.
22147	24891	Did so out, we're just funny, call it!
24871	29298	Which the thirds have swamped me, and we got better than some ghetto extreme offbeat.
29799	29879	Why?
29899	33645	You flippin' off the system, firing at it by the rage, cause I don't like supprism.
33885	36049	I still ain't the man, I just ain't workin' monthly.
36289	41057	My pants are t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t-t
41037	62657	The bear on the house, and he transpired You'll meet the lab rat, corporate hack So Scott LLC's in union back, since API phones are filing Didn't show out, we just bought it You bought it, just talking on rebellion Back with a bunch of dynoplastic, you're in hell, you bought it You made for Venus Gorgon, got sold free, but bought a pump for a fortune
70484	72287	Yo, I still hate cops, but I'm the H.O.
72327	72807	President now.
72988	75932	My backyard pumped fast in a ton, so you know I'm not sell-out.
76152	77915	It's my second fridge.
77935	81100	One for our milk, one for H. We bought it!
81280	82842	And yeah, shit don't fail!
82982	85826	Spring the truth just for jowl, and we bought it!
86147	89272	Go fast, get the frame, beat the steam bell!
89292	90233	We bought it!
90613	93958	Bought it with a patent, and man, fuck it was it!
93978	95060	We bought it!
95441	99867	Bought it, before patented, sell-out, we're just bought it!
109280	111671	So cute, nor Kate Jorson, nor St.
111691	112595	Brick Cloud.
112615	114202	Tid and John sell out.
114383	115830	Beasts might get their studies.
116031	117156	How about Bermuda?
118120	118783	Taiwan.
