start	end	text
10713	29667	Billionaire alliance with a master plan Twitter tycoon and the orange-tinted man Dismantling the system with their golden wrench Democracy's just collateral in the power trench
30187	58506	Public servants tossed aside like yesterday's trash Programs frozen with the bureaucratic crash They're selling us a future built on twixt and lies While waving flags and feeding us as they disguise There's thieves on fire, going up in flames Billionaires and tyrants, playing power games They're cutting institutions, one by one they fall While we stand here watching as they tear down it all
58486	62012	Tear it down, tear it down.
62372	64035	Watch it burn to the ground.
68341	71687	Federal workers shown the door without a care.
73450	77115	Budget freezes leaving families in despair.
78257	81422	Departments disappearing overnight.
83056	98517	History being written just to serve the right They're deleting facts and changing what we see Rewriting webpages of our history The truth gets buried under corporate lies As the last checks and balances slowly die
101618	106724	Democracies on fire, going up in flames.
106744	110869	Billionaires and tyrants, playing power games.
111270	115715	They're cutting institutions, one by one they fall.
116376	120521	While we stand here watching as they tear down it all.
121141	126748	Tear it down, tear it down, watch it burn to the ground.
