start	end	text
44767	48812	Built on dead and broken trees, fast food, freedom, battery scenes.
49173	53218	Amber waves of gasoline, turf decays on every screen.
53238	57544	They sleep strapped in tit-fall hats, scream fake news in maggot chats.
57564	61470	History whitewashed on top of the wall, the empire promoted and bound to fall.
61650	65916	We're living in a state of delusion, as in denial, a toxic religion.
65936	72124	Stars and lights on every flint, the old side, but most said, yeah, we're a fat-bound institution.
72104	75060	We're dying brown in a state of delusion.
78618	83022	Billionaires fly while bridges collapse, we chase the dream with broken maps.
83042	86465	Pelt chairs are awful, schools are broke, but we still laugh at porn.
86485	89647	Full of tricks and nonsense, lost and rare, what might all be if?
89888	94692	So many noise there, but we're all twirls, sippin' Red Bull and Vodka Snooze.
95032	99436	We're living in a Sandalusian world through faith and ambition.
99456	103559	Truth is meant on passive text, justice goes to reason act.
103579	107983	The act went from legion to confusion, we're bleeding out in a Sandalusian.
112148	116816	This is finally all set, what's on the toilet bucket?
116836	119921	We're all blazers on cable rails.
119941	123387	We can't seem to draw civil wars at all with this.
124649	129017	Still living in a state of delusion, manifest destiny, mass seclusion.
129037	133224	Your fear sees all the new constitution, and we're too damn proud for a revolution.
133384	135107	Scream out this grand illusion.
135568	138072	We're the bus line in a state of delusion.
