start	end	text
20652	44736	Welcome to the program, sit back in your seat Can't line scream at you, orders on repeat Every channel claims that they're the only guy But the more you're watching, the less you decide Scrolling through disasters, splash across the screen Men use that shuriken again, red and green Picking sides of mob that, drama so dispatched The jeepen has to bite it, never looking thanked
45273	50559	Truesty dating away, the facts get twisting every day.
50980	54083	Truesty day, what can we say?
54224	56306	When have fags got the rage?
57107	58509	Aight.
58529	68901	Aight.
68921	71724	Talking heads with their agendas set.
71744	74267	Manufacturing outlets to collect.
74365	92678	West versus right, a false dichotomy Selling fear instead of bias deep Turn it off, tune it out There's something better to talk us out Than Farness and Weinsberg shouting out While the real loved ones go without
93282	98636	Truth today, eating away, the facts get twisted every day.
99077	104351	Truth today, what can we say, when headvines decorate?
105254	105334	Hey!
139739	145046	Truth DJ eating away, my back get twisted everyday.
145466	150974	Truth DJ, what can we say, when headlines drive the rage?
150994	156541	Turn down the static, reclaim your head, start questioning the narratives you've been fed.
156561	162068	Switch off the circus, step outside the frame, searching for meaning that isn't just a name.
162048	173492	No more distractions, break through the haze Put down the fear that keeps us all in chains No conversations, let actions remain It's up to us now to spark a change
